T_over_Tc,pair_flux,phase_stiffness,dissipative_constraint,vortex_constraint,transport_index,resistance_proxy
0.22014613778705638,0.9515678496868476,0.9515356780174424,0.02000000313784943,0.060017315818133375,11.301560896325517,0.010939424480746147
0.22290187891440502,0.9509615866388309,0.9503147523764279,0.020000003361647554,0.060019277497003365,11.27959231586883,0.01096049701189842
0.22565762004175366,0.9503553235908142,0.9490786385170915,0.020000003601407444,0.060021448681995625,11.257433694919165,0.010981834232497826
0.22841336116910232,0.9497490605427975,0.9478273364394332,0.02000000385826752,0.06002385024879809,11.235082640149122,0.011003441080456713
0.23116910229645096,0.9491427974947808,0.946560846143453,0.020000004133447404,0.06002650498451718,11.212536517533064,0.011025322812119927
0.2339248434237996,0.9485365344467641,0.9452791676291509,0.020000004428253705,0.06002943774462558,11.189792433762277,0.011047485027388726
0.23668058455114824,0.9479302713987474,0.9439823008965268,0.02000000474408622,0.060032675620958355,11.166847216492219,0.011069933696714584
0.23943632567849688,0.9473240083507307,0.9426702459455808,0.02000000508244459,0.060036248121356266,11.143697393376275,0.011092675190077854
0.24219206680584554,0.946717745302714,0.9413430027763129,0.0200000054449354,0.060040187361571136,11.120339169841907,0.011115716308070886
0.24494780793319418,0.9461114822546973,0.9400005713887231,0.02000000583327983,0.06004452827006176,11.096768405566992,0.011139064315209795
0.24770354906054282,0.9455052192066806,0.9386429517828112,0.02000000624932181,0.06004930880632161,11.072980589616694,0.01116272697560362
0.2504592901878915,0.9448989561586638,0.9372701439585776,0.0200000066950368,0.06005457019339047,11.048970814204464,0.011186712591113871
0.2532150313152401,0.9442926931106472,0.935882147916022,0.02000000717254113,0.06006035716521031,11.024733747044584,0.011211030042141882
0.25597077244258876,0.9436864300626304,0.9344789636551445,0.020000007684102088,0.06006671822949237,11.000263602268522,0.01123568883118523
0.25872651356993737,0.9430801670146138,0.933060591175945,0.02000000823214867,0.06007370594676585,10.975554109882927,0.01126069912930845
0.26148225469728603,0.942473903966597,0.9316270304784237,0.020000008819283103,0.06008137722627919,10.95059848375374,0.01128607182567664
0.2642379958246347,0.9418676409185803,0.9301782815625803,0.020000009448293218,0.06008979363942225,10.925389388108622,0.011311818580303886
0.2669937369519833,0.9412613778705636,0.9287143444284152,0.02000001012216568,0.06009902175133163,10.899918902558776,0.011337951880171084
0.269749478079332,0.9406551148225469,0.927235219075928,0.020000010844100163,0.060109133471330914,10.874178485651495,0.01136448509887019
0.2725052192066806,0.9400488517745302,0.925740905505119,0.020000011617524554,0.06012020642284304,10.848158936976299,0.011391432559933766
0.27526096033402925,0.9394425887265135,0.924231403715988,0.020000012446111225,0.06013232433339322,10.821850357860786,0.011418809604009905
0.2780167014613779,0.9388363256784968,0.9227067137085351,0.02000001333379447,0.06014557744529583,10.795242110707061,0.011446632660043334
0.2807724425887266,0.9382300626304801,0.9211668354827602,0.02000001428478918,0.060160062947589764,10.768322777036207,0.011474919320623425
0.28352818371607513,0.9376237995824634,0.9196117690386636,0.020000015303610858,0.060175885429750525,10.74108011432683,0.011503688421658938
0.2862839248434238,0.9370175365344467,0.9180415143762448,0.020000016395097076,0.06019315735766608,10.713501011754174,0.011532960126537754
0.28903966597077246,0.93641127348643,0.9164560714955042,0.02000001756443042,0.0602119995723149,10.685571444959152,0.011562756014927046
0.29179540709812113,0.9358050104384134,0.9148554403964417,0.020000018817163116,0.060232541811529275,10.65727643000152,0.011593099176365893
0.2945511482254698,0.9351987473903967,0.9132396210790573,0.02000002015924338,0.060254923255164516,10.62859997667896,0.011624014308797436
0.29730688935281835,0.93459248434238,0.911608613543351,0.020000021597043675,0.06027929309392376,10.599525041423796,0.011655527822181756
0.300062630480167,0.9339862212943633,0.9099624177893227,0.02000002313739095,0.06030581112201008,10.570033480021545,0.011687667947323545
0.3028183716075157,0.9333799582463466,0.9083010338169726,0.020000024787599085,0.060334648353690006,10.540106000430901,0.0117204648500399
0.30557411273486434,0.9327736951983299,0.9066244616263004,0.020000026555503585,0.06036598766375717,10.509722116022685,0.01175395075078362
0.308329853862213,0.9321674321503132,0.9049327012173064,0.020000028449498802,0.06040002445177968,10.478860099596108,0.011788160049825736
0.31108559498956156,0.9315611691022965,0.9032257525899905,0.0200000304785778,0.06043696732990043,10.447496938574197,0.011823129458087831
0.31384133611691023,0.9309549060542798,0.9015036157443526,0.020000032652375037,0.06047703883383586,10.415608291826532,0.011858898133699582
0.3165970772442589,0.9303486430062631,0.8997662906803927,0.020000034981212132,0.060520476156584645,10.383168448616198,0.011895507824340314
0.31935281837160756,0.9297423799582464,0.8980137773981111,0.02000003747614685,0.0605675319042142,10.350150290219116,0.011933003015404496
0.3221085594989562,0.9291361169102297,0.8962460758975074,0.02000004014902563,0.06061847487293881,10.316525254817241,0.01197143108401052
0.3248643006263048,0.928529853862213,0.8944631861785819,0.020000043012539822,0.06067359084653922,10.282263306322386,0.012010842458849178
0.32762004175365345,0.9279235908141963,0.8926651082413344,0.020000046080285945,0.06073318341299883,10.247332907843987,0.01205129078584335
0.3303757828810021,0.9273173277661795,0.890851842085765,0.020000049366830256,0.060797574799047495,10.21170100057149,0.012092833099563301
0.3331315240083508,0.9267110647181628,0.8890233877118736,0.020000052887777908,0.06086710672110893,10.17533298889976,0.01213553000031235
0.33588726513569944,0.9261048016701461,0.8871797451196604,0.02000005665984704,0.06094214125094334,10.13819273268277,0.012179445836765978
0.338643006263048,0.9254985386221295,0.8853209143091252,0.020000060700948175,0.0610230616940628,10.100242547556247,0.01222464889401318
0.34139874739039666,0.9248922755741127,0.8834468952802681,0.02000006503026924,0.06111027347877319,10.06144321432267,0.012271211586812115
0.3441544885177453,0.924286012526096,0.8815576880330891,0.020000069668366687,0.06120420505346445,10.021753998440646,0.012319210657833039
0.346910229645094,0.9236797494780793,0.8796532925675882,0.02000007463726311,0.061305308789530215,9.981132680703885,0.012368727380619927
0.34966597077244266,0.9230734864300626,0.8777337088837652,0.020000079960551788,0.061414061887049246,9.939535600231205,0.012419847766957919
0.3524217118997912,0.9224672233820459,0.8757989369816206,0.020000085663508724,0.06153096728010618,9.896917710915986,0.012472662778287293
0.3551774530271399,0.9218609603340292,0.8738489768611538,0.020000091773212658,0.061656554538367145,9.853232652499758,0.012527268540755547
0.35793319415448854,0.9212546972860125,0.8718838285223652,0.020000098318673647,0.06179138076125931,9.808432837437508,0.012583766563447748
0.3606889352818372,0.9206484342379958,0.8699034919652546,0.0200001053309708,0.06193603146083239,9.762469554709671,0.012642263959281584
0.3634446764091859,0.9200421711899791,0.8679079671898222,0.020000112843399857,0.06209112142910604,9.715293091705261,0.012702873667997452
0.36620041753653443,0.9194359081419624,0.8658972541960679,0.02000012089163128,0.06225729558543153,9.666852875249235,0.012765714680615882
0.3689561586638831,0.9188296450939457,0.8638713529839915,0.020000129513879607,0.06243522979911973,9.617097632772913,0.012830912264674256
0.37171189979123176,0.918223382045929,0.8618302635535933,0.020000138751084938,0.06262563168231265,9.565975574525858,0.012898598189492988
0.3744676409185804,0.9176171189979123,0.8597739859048731,0.020000148647107294,0.06282924134780328,9.513434597599225,0.012968910950657426
0.3772233820459291,0.9170108559498956,0.857702520037831,0.020000159248934876,0.06304683212624096,9.459422512371217,0.013041995992836775
0.37997912317327764,0.9164045929018789,0.8556158659524671,0.020000170606907196,0.06327921123689759,9.403887291793566,0.01311800592999479
0.3827348643006263,0.9157983298538622,0.8535140236487812,0.020000182774954064,0.06352722040591753,9.34677734371157,0.013197100761979908
0.385490605427975,0.9151920668058455,0.8513969931267733,0.02000019581085169,0.06379173642572995,9.288041806148817,0.013279448086414224
0.38824634655532364,0.9145858037578288,0.8492647743864435,0.020000209776496986,0.06407367164907304,9.22763086519004,0.01336522330473267
0.3910020876826723,0.9139795407098121,0.8471173674277919,0.020000224738201483,0.06437397441086293,9.165496094762721,0.013454609821155357
0.39375782881002086,0.9133732776617954,0.8449547722508183,0.020000240767006187,0.06469362937094139,9.101590817250862,0.013547799233308231
0.3965135699373695,0.9127670146137787,0.8427769888555228,0.020000257939018884,0.0650336577705574,9.035870483475428,0.013644991513140334
0.3992693110647182,0.912160751565762,0.8405840172419052,0.020000276335775523,0.06539511759527886,8.968293070149114,0.01374639517672009
0.40202505219206686,0.9115544885177453,0.8383758574099659,0.020000296044627348,0.06577910363689851,8.89881949246282,0.013852227441429511
0.4047807933194155,0.9109482254697285,0.8361525093597046,0.020000317159155675,0.0661867474467905,8.827414028994493,0.013962714369013562
0.4075365344467641,0.910341962421712,0.8339139730911215,0.020000339779616218,0.06661921717309718,8.754044755655373,0.014078090992883343
