radius_over_M,J_over_Jcrit,redshift_proxy,entropy_correction_proxy
3.7769905956112857,0.2393774818077035,1.4579088995486889,0.0029660108990607246
3.7988714733542324,0.23625436085648432,1.4532061689672964,0.0029357877087084526
3.820752351097179,0.233194393256453,1.4486017476084077,0.0029060079207713727
3.8426332288401257,0.23019527839333068,1.4440925172463124,0.0028766632002988225
3.8645141065830724,0.22725488480221573,1.4396754923894475,0.002847745400707978
3.886394984326019,0.22437123379276488,1.435347813198979,0.002819246558866009
3.9082758620689657,0.22154248432931237,1.4311067388606233,0.0027911588903166604
3.9301567398119124,0.21876691917123608,1.426949641375943,0.002763474784646523
3.9520376175548595,0.2160429322535387,1.4228739997422273,0.0027361868009865577
3.973918495297806,0.2133690172675272,1.4188773944926356,0.002709287663644431
3.995799373040753,0.21074375738618678,1.414957502570655,0.0026827702578635093
4.0176802507837,0.20816581606777199,1.4111120925150347,0.002656627625704426
4.039561128526646,0.20563392886375537,1.4073390199333051,0.0026308529620453387
4.061442006269592,0.2031468961530102,1.4036362232437385,0.002605439610697037
4.0833228840125395,0.20070357672245265,1.4000017196672196,0.0025803810606293224
4.105203761755487,0.1983028821148189,1.3964336014519423,0.0025556709423050976
4.127084639498433,0.1959437716663699,1.3929300323151825,0.0025313030241187664
4.148965517241379,0.19362524816069424,1.3894892440876156,0.0025072712089356905
4.170846394984327,0.19134635402905814,1.386109533546743,0.002483569530729488
4.192727272727273,0.18910616803264257,1.3827892594270221,0.002460192151314168
4.2146081504702195,0.18690380236724163,1.3795268395952098,0.0024371333571680956
4.236489028213167,0.18473840013638507,1.3763207483802848,0.002414387556346948
4.258369905956114,0.18260913314420135,1.3731695140481004,0.0023919492754829416
4.28025078369906,0.18051519996455026,1.3700717164116192,0.0023698131568675824
4.302131661442006,0.17845582424791717,1.3670259845682586,0.0023479739556154467
4.324012539184953,0.17643025323221584,1.3640309947564635,0.0023264265369064554
4.3458934169279,0.17443775642794077,1.361085468324189,0.002305165873304255
4.367774294670847,0.17247762445203502,1.3581881698024878,0.0022841870421483755
4.389655172413793,0.17054916798837383,1.355337905077858,0.0022634852230178997
4.411536050156741,0.1686517168559265,1.352533519657463,0.002243055695264526
4.433416927899687,0.16678461916844858,1.3497738970217137,0.002222893835612866
4.455297805642633,0.16494724057200852,1.3470579570590928,0.002202995115825951
4.4771786833855804,0.1631389635487856,1.3443846545784326,0.0021833551004340453
4.499059561128528,0.16135918677741504,1.3417529778941828,0.0021639694445247763
4.520940438871474,0.15960732454173285,1.3391619474804928,0.0021448338915928265
4.54282131661442,0.1578828061811193,1.3366106146902057,0.0021259442714473427
4.564702194357367,0.1561850755767759,1.3340980605351216,0.002107296498175405
4.586583072100314,0.15451359066922754,1.3316233945241054,0.002088886568159836
4.6084639498432605,0.1528678230031414,1.3291857535558507,0.0020707105581497837
4.630344827586207,0.15124725729622276,1.3267843008632958,0.002052764623382497
4.652225705329155,0.14965139102949698,1.3244182250068885,0.002035044995754796
4.674106583072101,0.14807973405674418,1.3220867389140611,0.0020175479820427767
4.695987460815047,0.14653180823122425,1.3197890789624438,0.002000269962168339
4.717868338557994,0.14500714704813877,1.3175245041044972,0.0019832073875111697
4.739749216300941,0.14350529530152334,1.3152922950313781,0.00196635677926486
4.761630094043888,0.1420258087544665,1.3130917533739928,0.0019497147268358718
4.783510971786834,0.14056825382171798,1.3109222009393073,0.0019332778862841255
4.805391849529781,0.13913220726388117,1.3087829789801013,0.0019170429788039835
4.827272727272728,0.1377172558924934,1.3066734474964594,0.0019010067892445014
4.849153605015674,0.1363229962853843,1.3045929845673894,0.0018851661646677865
4.8710344827586205,0.13494903451177687,1.3025409857110533,0.0018695180129443883
4.8929153605015685,0.13359498586665092,1.3005168632721857,0.0018540593013846689
4.914796238244515,0.13226047461393836,1.2985200458353483,0.0018387870554051264
4.936677115987461,0.13094513373815747,1.2965499776627525,0.0018236983572286548
4.958557993730408,0.12964860470412842,1.294606118155451,0.0018087903446178315
4.980438871473355,0.128370537224437,1.2926879413367631,0.0017940602096402543
5.002319749216301,0.1271105890343378,1.290794935356868,0.0017795051974650276
5.024200626959248,0.1258684256738092,1.2889266020175494,0.0017651226051895663
5.046081504702196,0.12464372027648668,1.2870824563161432,0.0017509097806958176
5.067962382445142,0.12343615336522001,1.2852620260077743,0.0017368641215351106
5.089843260188088,0.12224541265400808,1.2834648511850337,0.0017229830738408215
5.111724137931034,0.12107119285608328,1.2816904838742857,0.001709264131268086
5.133605015673982,0.11991319549792244,1.2799384876478328,0.0016957048339598293
5.1554858934169285,0.11877112873897523,1.2782084372512186,0.0016823027675383498
5.177366771159875,0.11764470719690763,1.2764999182449739,0.001669055562121775
5.199247648902821,0.11653365177816849,1.2748125266601575,0.001655960891364711
5.221128526645769,0.11543768951369364,1.2731458686670678,0.0016430164715224179
5.243009404388715,0.11435655339957106,1.2714995602565464,0.0016302200605378585
5.264890282131661,0.11328998224249497,1.2698732269333017,0.0016175694571510038
5.286771159874609,0.11223772050984748,1.2682665034207397,0.001605062500029802
5.308652037617556,0.11119951818424917,1.2666790333767852,0.0015926970669222092
5.330532915360502,0.11017513062242709,1.2651104691202246,0.0015804710738287107
5.352413793103448,0.10916431841825625,1.2635604713671131,0.0015683824741948018
5.374294670846396,0.10816684726983292,1.2620287089768123,0.001556429258122866
5.396175548589342,0.10718248785044693,1.2605148587072526,0.001544609451602942
5.418056426332289,0.10621101568332111,1.2590186049790264,0.0015329211157618877
5.439937304075235,0.10525221101999552,1.257539639647941,0.0015213623461304174
5.461818181818183,0.10430585872223444,1.2560776617856775,0.001509931271927583
5.483699059561129,0.10337174814734172,1.2546323774682206,0.0014986260553621878
5.505579937304075,0.10244967303677172,1.2532034995717343,0.0014874448909507128
5.527460815047023,0.10153943140792954,1.251790747575582,0.001476386004851335
5.5493416927899695,0.10064082544905725,1.2503938473721967,0.001465447654213565
5.571222570532916,0.09975366141710439,1.2490125310835245,0.001454628126543155
5.593103448275862,0.09887774953848946,1.2476465368837766,0.0014439257390818207
5.61498432601881,0.09801290391265739,1.2462956088282346,0.0014333388382014249
5.636865203761756,0.09715894241834526,1.244959496687874,0.001422865798812256
5.658746081504702,0.09631568662246848,1.243637955789567,0.0014125050237849882
5.680626959247649,0.09548296169154617,1.2423307468616507,0.001402254943386018
